km,brand,fuel,gear,price,cv,year
28864,Renault,Gasoline,Manual,7995,74,2017
42000,Mitsubishi,Gasoline,Manual,8000,81,2017
46073,Ford,Gasoline,Manual,8090,72,2017
16000,Toyota,Gasoline,Manual,8100,70,2017
27547,Fiat,Gasoline,Manual,8190,70,2017
28323,Fiat,Gasoline,Manual,8190,70,2017
6761,Volkswagen,Gasoline,Manual,19490,127,2018
44626,Skoda,Gasoline,Manual,19940,181,2018
35000,Honda,Gasoline,Manual,19950,185,2018
23100,Mitsubishi,Gasoline,Manual,21490,165,2018
29658,Opel,Diesel,Automatic,21680,122,2018
86886,Volkswagen,Diesel,Automatic,24869,242,2018
47000,Jaguar,Gasoline,Automatic,24950,203,2018
37076,Skoda,Gasoline,Automatic,27890,248,2018
51136,Volkswagen,Diesel,Automatic,28780,207,2018
32900,Volkswagen,Diesel,Automatic,29990,193,2018
26890,Audi,Diesel,Automatic,41830,331,2018
62302,Dacia,Gasoline,Manual,4700,74,2018
3500,Others,Electric,Manual,5500,39,2018
84000,Fiat,Gasoline,Manual,5990,70,2018
17896,Mitsubishi,Gasoline,Manual,6490,72,2018
78000,Volkswagen,Gasoline,Manual,6490,61,2018
191533,Opel,Diesel,Manual,6722,106,2018
84800,Skoda,Gasoline,Manual,6850,61,2018
62608,Volkswagen,Gasoline,Manual,6930,61,2018
8100,Mercedes-Benz,Hybrid,Automatic,45890,197,2019
50307,Audi,Diesel,Automatic,45950,234,2019
26493,Mercedes-Benz,Gasoline,Automatic,46777,372,2019
70500,Lexus,Hybrid,Automatic,47490,317,2019
14584,Audi,Gasoline,Automatic,48860,248,2019
60548,Mercedes-Benz,Diesel,Automatic,48977,345,2019
7441,Volvo,Diesel,Automatic,49990,193,2019
34444,Audi,Gasoline,Automatic,51980,406,2019
24350,Volkswagen,Diesel,Automatic,56450,290,2019
15690,Volkswagen,Diesel,Automatic,61950,290,2019
2300,Volvo,Hybrid,Automatic,64800,397,2019
12100,Mercedes-Benz,Diesel,Automatic,66890,290,2019
28744,Volkswagen,Diesel,Automatic,74990,202,2019
14500,Volkswagen,Diesel,Automatic,77905,202,2019
8770,Jaguar,Gasoline,Automatic,79980,559,2019
23864,Ford,Gasoline,Manual,12970,96,2020
25885,Ford,Gasoline,Manual,12980,96,2020
5,Renault,Gasoline,Manual,12995,102,2020
19990,Ford,Gasoline,Manual,13330,96,2020
2438,Seat,Gasoline,Manual,13950,81,2020
50,Seat,Gasoline,Manual,14490,96,2020
18805,Ford,Gasoline,Manual,14990,102,2020
9990,Ford,Gasoline,Manual,15490,102,2020
18365,Ford,Gasoline,Manual,15790,102,2020
23560,Ford,Gasoline,Manual,15880,127,2020
9990,Ford,Hybrid,Manual,15970,127,2020
6315,Ford,Hybrid,Manual,16450,127,2020
4246,Mazda,Gasoline,Manual,16880,91,2020
11570,Ford,Diesel,Manual,19390,152,2020
7360,Ford,Diesel,Manual,19790,152,2020
5050,Ford,Diesel,Manual,19970,152,2020
8125,Ford,Diesel,Manual,19990,152,2020
50,Ford,Gasoline,Manual,19990,127,2020
5050,Ford,Diesel,Manual,20385,152,2020
135000,Smart,Diesel,Automatic,3940,55,2011
234730,Opel,Diesel,Automatic,3949,162,2011
42571,Hyundai,Gasoline,Manual,3950,70,2011
130274,Ford,Gasoline,Manual,3950,152,2011
107517,Hyundai,Gasoline,Manual,3950,68,2011
